country_code,country_name,year,"Population, total",Population growth (annual %),Urban population (% of total),GDP (current US$)
SGP,Singapore,2006,,,100.0,
SGP,Singapore,2007,,,100.0,
SGP,Singapore,2008,,,100.0,
SGP,Singapore,2009,,,100.0,
SGP,Singapore,2010,,,100.0,
SGP,Singapore,2011,,,100.0,
SGP,Singapore,2012,,,100.0,
SGP,Singapore,2013,,,100.0,
SGP,Singapore,2014,,,100.0,
SGP,Singapore,2015,,,100.0,
SGP,Singapore,2016,,,100.0,
SGP,Singapore,2017,,,100.0,
SGP,Singapore,2018,,,100.0,
SGP,Singapore,2019,,,100.0,
SGP,Singapore,2020,,,100.0,
SGP,Singapore,2021,,,100.0,
SGP,Singapore,2022,,,100.0,
SGP,Singapore,2023,,,100.0,
,,2024,,,100.0,
,,2025,,,100.0,
,,2026,,,100.0,
,,2027,,,100.0,
,,2028,,,100.0,
,,2029,,,100.0,
,,2030,,,100.0,
,,2031,,,100.0,
,,2032,,,100.0,
,,2033,,,100.0,
,,2034,,,100.0,
,,2035,,,100.0,
THA,Thailand,2000,,,31.386,
THA,Thailand,2001,,,32.548,
THA,Thailand,2002,,,33.734,
THA,Thailand,2003,,,34.941,
THA,Thailand,2004,,,36.169,
THA,Thailand,2005,,,37.411,
THA,Thailand,2006,,,38.673,
THA,Thailand,2007,,,39.95,
THA,Thailand,2008,,,41.242,
THA,Thailand,2009,,,42.543,
THA,Thailand,2010,,,43.856,
THA,Thailand,2011,,,44.698,
THA,Thailand,2012,,,45.445,
THA,Thailand,2013,,,46.193,
THA,Thailand,2014,,,46.943,
THA,Thailand,2015,,,47.694,
THA,Thailand,2016,,,48.448,
THA,Thailand,2017,,,49.2,
THA,Thailand,2018,,,49.949,
THA,Thailand,2019,,,50.692,
THA,Thailand,2020,,,51.43,
THA,Thailand,2021,,,52.163,
THA,Thailand,2022,,,52.889,
THA,Thailand,2023,,,53.608,
,,2024,,,53.608,
,,2025,,,53.608,
,,2026,,,53.608,
,,2027,,,53.608,
,,2028,,,53.608,
,,2029,,,53.608,
,,2030,,,53.608,
,,2031,,,53.608,
,,2032,,,53.608,
,,2033,,,53.608,
,,2034,,,53.608,
,,2035,,,53.608,
VNM,Vietnam,2000,,,24.374,
VNM,Vietnam,2001,,,24.937,
VNM,Vietnam,2002,,,25.511,
VNM,Vietnam,2003,,,26.092,
VNM,Vietnam,2004,,,26.683,
VNM,Vietnam,2005,,,27.281,
VNM,Vietnam,2006,,,27.888,
VNM,Vietnam,2007,,,28.504,
VNM,Vietnam,2008,,,29.128,
VNM,Vietnam,2009,,,29.762,
VNM,Vietnam,2010,,,30.417,
VNM,Vietnam,2011,,,31.08,
VNM,Vietnam,2012,,,31.752,
VNM,Vietnam,2013,,,32.429,
VNM,Vietnam,2014,,,33.115,
VNM,Vietnam,2015,,,33.809,
VNM,Vietnam,2016,,,34.51,
VNM,Vietnam,2017,,,35.213,
VNM,Vietnam,2018,,,35.919,
VNM,Vietnam,2019,,,36.628,
VNM,Vietnam,2020,,,37.34,
VNM,Vietnam,2021,,,38.052,
VNM,Vietnam,2022,,,38.766,
VNM,Vietnam,2023,,,39.48,
,,2024,,,39.48,
,,2025,,,39.48,
,,2026,,,39.48,
,,2027,,,39.48,
,,2028,,,39.48,
,,2029,,,39.48,
,,2030,,,39.48,
,,2031,,,39.48,
,,2032,,,39.48,
,,2033,,,39.48,
,,2034,,,39.48,
,,2035,,,39.48,
BRN,Brunei Darussalam,2000,,,,6570999059.70575
BRN,Brunei Darussalam,2001,,,,6096155747.56182
BRN,Brunei Darussalam,2002,,,,6333082878.97992
BRN,Brunei Darussalam,2003,,,,7167725264.75135
BRN,Brunei Darussalam,2004,,,,8619178799.47025
BRN,Brunei Darussalam,2005,,,,10547202612.4295
BRN,Brunei Darussalam,2006,,,,12644616446.1918
BRN,Brunei Darussalam,2007,,,,13432029495.6785
BRN,Brunei Darussalam,2008,,,,15926456491.5178
BRN,Brunei Darussalam,2009,,,,11912904529.0722
BRN,Brunei Darussalam,2010,,,,13707121031.2552
BRN,Brunei Darussalam,2011,,,,18524791070.6802
BRN,Brunei Darussalam,2012,,,,19048443339.9457
BRN,Brunei Darussalam,2013,,,,18094148099.4922
BRN,Brunei Darussalam,2014,,,,17097797371.9718
BRN,Brunei Darussalam,2015,,,,12930296852.4882
BRN,Brunei Darussalam,2016,,,,11400266055.3232
BRN,Brunei Darussalam,2017,,,,12128168046.7827
BRN,Brunei Darussalam,2018,,,,13566908401.1864
BRN,Brunei Darussalam,2019,,,,13469235348.2211
BRN,Brunei Darussalam,2020,,,,12005799664.2691
BRN,Brunei Darussalam,2021,,,,14006496614.3195
BRN,Brunei Darussalam,2022,,,,16681536442.5498
BRN,Brunei Darussalam,2023,,,,15128292980.8638
,,2024,,,,15128292980.8638
,,2025,,,,15128292980.8638
,,2026,,,,15128292980.8638
,,2027,,,,15128292980.8638
,,2028,,,,15128292980.8638
,,2029,,,,15128292980.8638
,,2030,,,,15128292980.8638
,,2031,,,,15128292980.8638
,,2032,,,,15128292980.8638
,,2033,,,,15128292980.8638
,,2034,,,,15128292980.8638
,,2035,,,,15128292980.8638
IDN,Indonesia,2000,,,,165021012077.81
IDN,Indonesia,2001,,,,160446947784.909
IDN,Indonesia,2002,,,,195660611165.183
IDN,Indonesia,2003,,,,234772463823.808
IDN,Indonesia,2004,,,,256836875295.452
IDN,Indonesia,2005,,,,285868619196.085
IDN,Indonesia,2006,,,,364570515618.358
IDN,Indonesia,2007,,,,432216737774.861
IDN,Indonesia,2008,,,,510228634992.255
IDN,Indonesia,2009,,,,539580085612.401
IDN,Indonesia,2010,,,,755094157594.524
IDN,Indonesia,2011,,,,892969104529.572
IDN,Indonesia,2012,,,,917869913364.917
IDN,Indonesia,2013,,,,912524136718.018
IDN,Indonesia,2014,,,,890814755511.014
IDN,Indonesia,2015,,,,860854232717.718
IDN,Indonesia,2016,,,,931877364034.196
IDN,Indonesia,2017,,,,1015618744168.08
IDN,Indonesia,2018,,,,1042271532953.49
IDN,Indonesia,2019,,,,1119099871385.79
IDN,Indonesia,2020,,,,1059054842711.55
IDN,Indonesia,2021,,,,1186509691070.97
IDN,Indonesia,2022,,,,1319076267291.51
IDN,Indonesia,2023,,,,1371171152331.16
,,2024,,,,1371171152331.16
,,2025,,,,1371171152331.16
,,2026,,,,1371171152331.16
,,2027,,,,1371171152331.16
,,2028,,,,1371171152331.16
,,2029,,,,1371171152331.16
,,2030,,,,1371171152331.16
,,2031,,,,1371171152331.16
,,2032,,,,1371171152331.16
,,2033,,,,1371171152331.16
,,2034,,,,1371171152331.16
,,2035,,,,1371171152331.16
KHM,Cambodia,2000,,,,3694168979.32019
KHM,Cambodia,2001,,,,4145665969.92864
KHM,Cambodia,2002,,,,4501227626.62752
KHM,Cambodia,2003,,,,5046693484.31767
KHM,Cambodia,2004,,,,5883297159.87352
KHM,Cambodia,2005,,,,7066296463.3598
KHM,Cambodia,2006,,,,8350531016.65753
KHM,Cambodia,2007,,,,10127916459.8983
KHM,Cambodia,2008,,,,12174303999.0812
KHM,Cambodia,2009,,,,12502901169.7377
KHM,Cambodia,2010,,,,13808673288.0696
KHM,Cambodia,2011,,,,16032622023.8265
KHM,Cambodia,2012,,,,17826536699.8016
KHM,Cambodia,2013,,,,19807135252.8649
KHM,Cambodia,2014,,,,22041463967.9009
KHM,Cambodia,2015,,,,24174170369.0738
KHM,Cambodia,2016,,,,26556545153.3573
KHM,Cambodia,2017,,,,29355665909.7905
KHM,Cambodia,2018,,,,33145892168.8958
KHM,Cambodia,2019,,,,36685356407.7206
KHM,Cambodia,2020,,,,34818073901.4851
KHM,Cambodia,2021,,,,36790163687.4421
KHM,Cambodia,2022,,,,39994532959.6074
KHM,Cambodia,2023,,,,42335646895.7984
,,2024,,,,42335646895.7984
,,2025,,,,42335646895.7984
,,2026,,,,42335646895.7984
,,2027,,,,42335646895.7984
,,2028,,,,42335646895.7984
,,2029,,,,42335646895.7984
,,2030,,,,42335646895.7984
,,2031,,,,42335646895.7984
,,2032,,,,42335646895.7984
,,2033,,,,42335646895.7984
,,2034,,,,42335646895.7984
,,2035,,,,42335646895.7984
LAO,Lao PDR,2000,,,,1731198022.46763
LAO,Lao PDR,2001,,,,1768619058.34647
LAO,Lao PDR,2002,,,,1758176653.07746
LAO,Lao PDR,2003,,,,2023324407.28414
LAO,Lao PDR,2004,,,,2366398119.86321
LAO,Lao PDR,2005,,,,2735558734.7379
LAO,Lao PDR,2006,,,,3455030060.9785
LAO,Lao PDR,2007,,,,4223152739.04052
LAO,Lao PDR,2008,,,,5446433157.40114
LAO,Lao PDR,2009,,,,5836137329.63305
LAO,Lao PDR,2010,,,,7131771014.70456
LAO,Lao PDR,2011,,,,8750104617.17303
LAO,Lao PDR,2012,,,,10192846339.4029
LAO,Lao PDR,2013,,,,11983252626.5452
LAO,Lao PDR,2014,,,,13279245886.3854
LAO,Lao PDR,2015,,,,14426380125.6488
LAO,Lao PDR,2016,,,,15912501722.6143
LAO,Lao PDR,2017,,,,17071155481.4994
LAO,Lao PDR,2018,,,,18141641089.7963
LAO,Lao PDR,2019,,,,18740561512.5555
LAO,Lao PDR,2020,,,,18981805250.2424
LAO,Lao PDR,2021,,,,18827148530.9347
LAO,Lao PDR,2022,,,,15468785203.7532
LAO,Lao PDR,2023,,,,15843155731.2552
,,2024,,,,15843155731.2552
,,2025,,,,15843155731.2552
,,2026,,,,15843155731.2552
,,2027,,,,15843155731.2552
,,2028,,,,15843155731.2552
,,2029,,,,15843155731.2552
,,2030,,,,15843155731.2552
,,2031,,,,15843155731.2552
,,2032,,,,15843155731.2552
,,2033,,,,15843155731.2552
,,2034,,,,15843155731.2552
,,2035,,,,15843155731.2552
MMR,Myanmar,2000,,,,8905066163.58643
MMR,Myanmar,2001,,,,6477790688.22844
MMR,Myanmar,2002,,,,6777632512.0781
MMR,Myanmar,2003,,,,10467109977.6717
MMR,Myanmar,2004,,,,10567354056.4049
MMR,Myanmar,2005,,,,11986972418.5103
MMR,Myanmar,2006,,,,14502553709.8303
MMR,Myanmar,2007,,,,20182477480.5512
MMR,Myanmar,2008,,,,31862554101.9378
MMR,Myanmar,2009,,,,36906181380.8127
MMR,Myanmar,2010,,,,49540813342.4834
MMR,Myanmar,2011,,,,59977326085.9908
MMR,Myanmar,2012,,,,59937796648.2158
MMR,Myanmar,2013,,,,60269732854.827
MMR,Myanmar,2014,,,,65531374199.6742
MMR,Myanmar,2015,,,,59607290407.5944
MMR,Myanmar,2016,,,,63298361996.2153
MMR,Myanmar,2017,,,,66053040483.0016
MMR,Myanmar,2018,,,,67860515989.517
MMR,Myanmar,2019,,,,75065106227.6892
MMR,Myanmar,2020,,,,79006113643.1906
MMR,Myanmar,2021,,,,66345291160.1683
MMR,Myanmar,2022,,,,62253049891.6449
MMR,Myanmar,2023,,,,66757619000.0
,,2024,,,,66757619000.0
,,2025,,,,66757619000.0
,,2026,,,,66757619000.0
,,2027,,,,66757619000.0
,,2028,,,,66757619000.0
,,2029,,,,66757619000.0
,,2030,,,,66757619000.0
,,2031,,,,66757619000.0
,,2032,,,,66757619000.0
,,2033,,,,66757619000.0
,,2034,,,,66757619000.0
,,2035,,,,66757619000.0
MYS,Malaysia,2000,,,,93789736842.1053
MYS,Malaysia,2001,,,,92783947368.4211
MYS,Malaysia,2002,,,,100845526315.789
MYS,Malaysia,2003,,,,110202368421.053
MYS,Malaysia,2004,,,,124749473684.211
MYS,Malaysia,2005,,,,143534405818.501
MYS,Malaysia,2006,,,,162692258307.056
MYS,Malaysia,2007,,,,193549569477.733
MYS,Malaysia,2008,,,,230811614370.384
MYS,Malaysia,2009,,,,202257453036.641
MYS,Malaysia,2010,,,,255017638455.59
MYS,Malaysia,2011,,,,297951668674.835
MYS,Malaysia,2012,,,,314443047642.111
MYS,Malaysia,2013,,,,323276235524.415
MYS,Malaysia,2014,,,,338066095097.254
MYS,Malaysia,2015,,,,301355266964.947
MYS,Malaysia,2016,,,,301256033870.334
MYS,Malaysia,2017,,,,319109094160.343
MYS,Malaysia,2018,,,,358788845712.53
MYS,Malaysia,2019,,,,365177721021.516
MYS,Malaysia,2020,,,,337456163961.211
MYS,Malaysia,2021,,,,373784823672.946
MYS,Malaysia,2022,,,,407605841348.235
MYS,Malaysia,2023,,,,399705169318.477
,,2024,,,,399705169318.477
,,2025,,,,399705169318.477
,,2026,,,,399705169318.477
,,2027,,,,399705169318.477
,,2028,,,,399705169318.477
,,2029,,,,399705169318.477
,,2030,,,,399705169318.477
,,2031,,,,399705169318.477
,,2032,,,,399705169318.477
,,2033,,,,399705169318.477
,,2034,,,,399705169318.477
,,2035,,,,399705169318.477
PHL,Philippines,2000,,,,83669788254.7279
PHL,Philippines,2001,,,,78921234457.5487
PHL,Philippines,2002,,,,84307345887.543
PHL,Philippines,2003,,,,87039092974.2272
PHL,Philippines,2004,,,,95001999685.3314
PHL,Philippines,2005,,,,107419977318.166
PHL,Philippines,2006,,,,127652926368.069
PHL,Philippines,2007,,,,155980408673.403
PHL,Philippines,2008,,,,181624626327.361
PHL,Philippines,2009,,,,175974755881.372
PHL,Philippines,2010,,,,208368893151.144
PHL,Philippines,2011,,,,234216730295.938
PHL,Philippines,2012,,,,261920540972.102
PHL,Philippines,2013,,,,283902828581.65
PHL,Philippines,2014,,,,297483555344.802
PHL,Philippines,2015,,,,306445871246.718
PHL,Philippines,2016,,,,318627003012.52
PHL,Philippines,2017,,,,328480736798.792
PHL,Philippines,2018,,,,346841896583.515
PHL,Philippines,2019,,,,376823402244.928
PHL,Philippines,2020,,,,361751145451.597
PHL,Philippines,2021,,,,394087359848.11
PHL,Philippines,2022,,,,404353369604.631
PHL,Philippines,2023,,,,437146372729.942
,,2024,,,,437146372729.942
,,2025,,,,437146372729.942
,,2026,,,,437146372729.942
,,2027,,,,437146372729.942
,,2028,,,,437146372729.942
,,2029,,,,437146372729.942
,,2030,,,,437146372729.942
,,2031,,,,437146372729.942
,,2032,,,,437146372729.942
,,2033,,,,437146372729.942
,,2034,,,,437146372729.942
,,2035,,,,437146372729.942
SGP,Singapore,2000,,,,96076539925.7409
SGP,Singapore,2001,,,,89793790669.6515
SGP,Singapore,2002,,,,92538372869.6942
SGP,Singapore,2003,,,,97646401095.6369
SGP,Singapore,2004,,,,115033593101.049
SGP,Singapore,2005,,,,127807848728.398
SGP,Singapore,2006,,,,148627286361.351
SGP,Singapore,2007,,,,180941701357.97
SGP,Singapore,2008,,,,193617323539.203
SGP,Singapore,2009,,,,194150283771.566
SGP,Singapore,2010,,,,239807980591.24
SGP,Singapore,2011,,,,279356499090.458
SGP,Singapore,2012,,,,295092888076.589
SGP,Singapore,2013,,,,307576360584.992
SGP,Singapore,2014,,,,314863580758.455
SGP,Singapore,2015,,,,307998545269.398
SGP,Singapore,2016,,,,319053943915.005
SGP,Singapore,2017,,,,343257164581.712
SGP,Singapore,2018,,,,376892697588.005
SGP,Singapore,2019,,,,376901649222.451
SGP,Singapore,2020,,,,349488382610.662
SGP,Singapore,2021,,,,434111559282.849
SGP,Singapore,2022,,,,498474540987.78
SGP,Singapore,2023,,,,501427500080.059
,,2024,,,,501427500080.059
,,2025,,,,501427500080.059
,,2026,,,,501427500080.059
,,2027,,,,501427500080.059
,,2028,,,,501427500080.059
,,2029,,,,501427500080.059
,,2030,,,,501427500080.059
,,2031,,,,501427500080.059
,,2032,,,,501427500080.059
,,2033,,,,501427500080.059
,,2034,,,,501427500080.059
,,2035,,,,501427500080.059
THA,Thailand,2000,,,,126392224253.794
THA,Thailand,2001,,,,120296476180.402
THA,Thailand,2002,,,,134300904400.022
THA,Thailand,2003,,,,152280615245.887
THA,Thailand,2004,,,,172895685154.658
THA,Thailand,2005,,,,189318408468.595
THA,Thailand,2006,,,,221758296021.621
THA,Thailand,2007,,,,262942621455.053
THA,Thailand,2008,,,,291382982430.951
THA,Thailand,2009,,,,281710630187.319
THA,Thailand,2010,,,,341104766329.17
THA,Thailand,2011,,,,370818739623.622
THA,Thailand,2012,,,,397558325278.579
THA,Thailand,2013,,,,420333654592.547
THA,Thailand,2014,,,,407339040197.651
THA,Thailand,2015,,,,401296238228.084
THA,Thailand,2016,,,,413366349747.508
THA,Thailand,2017,,,,456356813536.764
THA,Thailand,2018,,,,506754208404.485
THA,Thailand,2019,,,,543976691793.886
THA,Thailand,2020,,,,500461898480.246
THA,Thailand,2021,,,,506256494297.34
THA,Thailand,2022,,,,495645210972.751
THA,Thailand,2023,,,,514968699239.005
,,2024,,,,514968699239.005
,,2025,,,,514968699239.005
,,2026,,,,514968699239.005
,,2027,,,,514968699239.005
,,2028,,,,514968699239.005
,,2029,,,,514968699239.005
,,2030,,,,514968699239.005
,,2031,,,,514968699239.005
,,2032,,,,514968699239.005
,,2033,,,,514968699239.005
,,2034,,,,514968699239.005
,,2035,,,,514968699239.005
VNM,Vietnam,2000,,,,31172518403.3162
VNM,Vietnam,2001,,,,32685198808.5549
VNM,Vietnam,2002,,,,35064105500.8344
VNM,Vietnam,2003,,,,39552513231.9169
VNM,Vietnam,2004,,,,45427854693.2554
VNM,Vietnam,2005,,,,57633255738.1992
VNM,Vietnam,2006,,,,66371664817.0436
VNM,Vietnam,2007,,,,77414425532.2452
VNM,Vietnam,2008,,,,99130304099.1274
VNM,Vietnam,2009,,,,106014659565.214
VNM,Vietnam,2010,,,,147201173196.979
VNM,Vietnam,2011,,,,172595049183.925
VNM,Vietnam,2012,,,,195590661129.249
VNM,Vietnam,2013,,,,213708811665.34
VNM,Vietnam,2014,,,,233451469642.519
VNM,Vietnam,2015,,,,239258328381.741
VNM,Vietnam,2016,,,,257096001177.982
VNM,Vietnam,2017,,,,281353605986.903
VNM,Vietnam,2018,,,,310106478394.659
VNM,Vietnam,2019,,,,334365270496.667
VNM,Vietnam,2020,,,,346615738537.796
VNM,Vietnam,2021,,,,366474752771.009
VNM,Vietnam,2022,,,,410324028883.325
VNM,Vietnam,2023,,,,429716969043.572
,,2024,,,,429716969043.572
,,2025,,,,429716969043.572
,,2026,,,,429716969043.572
,,2027,,,,429716969043.572
,,2028,,,,429716969043.572
,,2029,,,,429716969043.572
,,2030,,,,429716969043.572
,,2031,,,,429716969043.572
,,2032,,,,429716969043.572
,,2033,,,,429716969043.572
,,2034,,,,429716969043.572
,,2035,,,,429716969043.572
