country_code,country_name,year,Access to clean fuels and technologies for cooking
BRN,Brunei Darussalam,2000,100.0
BRN,Brunei Darussalam,2001,100.0
BRN,Brunei Darussalam,2002,100.0
BRN,Brunei Darussalam,2003,100.0
BRN,Brunei Darussalam,2004,100.0
BRN,Brunei Darussalam,2005,100.0
BRN,Brunei Darussalam,2006,100.0
BRN,Brunei Darussalam,2007,100.0
BRN,Brunei Darussalam,2008,100.0
BRN,Brunei Darussalam,2009,100.0
BRN,Brunei Darussalam,2010,100.0
BRN,Brunei Darussalam,2011,100.0
BRN,Brunei Darussalam,2012,100.0
BRN,Brunei Darussalam,2013,100.0
BRN,Brunei Darussalam,2014,100.0
BRN,Brunei Darussalam,2015,100.0
BRN,Brunei Darussalam,2016,100.0
BRN,Brunei Darussalam,2017,100.0
BRN,Brunei Darussalam,2018,100.0
BRN,Brunei Darussalam,2019,100.0
BRN,Brunei Darussalam,2020,100.0
BRN,Brunei Darussalam,2021,100.0
BRN,Brunei Darussalam,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
IDN,Indonesia,2000,6.7
IDN,Indonesia,2001,7.5
IDN,Indonesia,2002,8.8
IDN,Indonesia,2003,10.4
IDN,Indonesia,2004,12.5
IDN,Indonesia,2005,15.0
IDN,Indonesia,2006,18.5
IDN,Indonesia,2007,23.0
IDN,Indonesia,2008,28.45
IDN,Indonesia,2009,34.2
IDN,Indonesia,2010,40.6
IDN,Indonesia,2011,46.6
IDN,Indonesia,2012,52.6
IDN,Indonesia,2013,58.1
IDN,Indonesia,2014,63.0
IDN,Indonesia,2015,67.3
IDN,Indonesia,2016,71.6
IDN,Indonesia,2017,75.5
IDN,Indonesia,2018,78.9
IDN,Indonesia,2019,82.1
IDN,Indonesia,2020,84.8
IDN,Indonesia,2021,87.2
IDN,Indonesia,2022,89.1
,,2023,89.1
,,2024,89.1
,,2025,89.1
,,2026,89.1
,,2027,89.1
,,2028,89.1
,,2029,89.1
,,2030,89.1
,,2031,89.1
,,2032,89.1
,,2033,89.1
,,2034,89.1
,,2035,89.1
KHM,Cambodia,2000,3.5
KHM,Cambodia,2001,4.1
KHM,Cambodia,2002,4.6
KHM,Cambodia,2003,5.2
KHM,Cambodia,2004,6.1
KHM,Cambodia,2005,6.8
KHM,Cambodia,2006,7.5
KHM,Cambodia,2007,8.4
KHM,Cambodia,2008,9.4
KHM,Cambodia,2009,10.4
KHM,Cambodia,2010,11.5
KHM,Cambodia,2011,12.9
KHM,Cambodia,2012,14.5
KHM,Cambodia,2013,16.1
KHM,Cambodia,2014,18.2
KHM,Cambodia,2015,20.7
KHM,Cambodia,2016,23.4
KHM,Cambodia,2017,26.9
KHM,Cambodia,2018,31.2
KHM,Cambodia,2019,35.7
KHM,Cambodia,2020,41.3
KHM,Cambodia,2021,47.2
KHM,Cambodia,2022,53.5
,,2023,53.5
,,2024,53.5
,,2025,53.5
,,2026,53.5
,,2027,53.5
,,2028,53.5
,,2029,53.5
,,2030,53.5
,,2031,53.5
,,2032,53.5
,,2033,53.5
,,2034,53.5
,,2035,53.5
LAO,Lao PDR,2000,1.3
LAO,Lao PDR,2001,1.4
LAO,Lao PDR,2002,1.5
LAO,Lao PDR,2003,1.6
LAO,Lao PDR,2004,1.8
LAO,Lao PDR,2005,2.0
LAO,Lao PDR,2006,2.3
LAO,Lao PDR,2007,2.5
LAO,Lao PDR,2008,2.9
LAO,Lao PDR,2009,3.2
LAO,Lao PDR,2010,3.5
LAO,Lao PDR,2011,4.0
LAO,Lao PDR,2012,4.3
LAO,Lao PDR,2013,4.8
LAO,Lao PDR,2014,5.2
LAO,Lao PDR,2015,5.8
LAO,Lao PDR,2016,6.2
LAO,Lao PDR,2017,6.8
LAO,Lao PDR,2018,7.3
LAO,Lao PDR,2019,8.0
LAO,Lao PDR,2020,8.7
LAO,Lao PDR,2021,9.4
LAO,Lao PDR,2022,10.2
,,2023,10.2
,,2024,10.2
,,2025,10.2
,,2026,10.2
,,2027,10.2
,,2028,10.2
,,2029,10.2
,,2030,10.2
,,2031,10.2
,,2032,10.2
,,2033,10.2
,,2034,10.2
,,2035,10.2
MMR,Myanmar,2000,2.0
MMR,Myanmar,2001,2.2
MMR,Myanmar,2002,2.5
MMR,Myanmar,2003,2.9
MMR,Myanmar,2004,3.4
MMR,Myanmar,2005,3.9
MMR,Myanmar,2006,4.5
MMR,Myanmar,2007,5.4
MMR,Myanmar,2008,6.4
MMR,Myanmar,2009,7.6
MMR,Myanmar,2010,9.1
MMR,Myanmar,2011,10.9
MMR,Myanmar,2012,13.1
MMR,Myanmar,2013,15.3
MMR,Myanmar,2014,18.0
MMR,Myanmar,2015,20.9
MMR,Myanmar,2016,24.3
MMR,Myanmar,2017,27.9
MMR,Myanmar,2018,31.9
MMR,Myanmar,2019,36.1
MMR,Myanmar,2020,40.75
MMR,Myanmar,2021,45.9
MMR,Myanmar,2022,50.7
,,2023,50.7
,,2024,50.7
,,2025,50.7
,,2026,50.7
,,2027,50.7
,,2028,50.7
,,2029,50.7
,,2030,50.7
,,2031,50.7
,,2032,50.7
,,2033,50.7
,,2034,50.7
,,2035,50.7
MYS,Malaysia,2000,97.8
MYS,Malaysia,2001,98.0
MYS,Malaysia,2002,98.1
MYS,Malaysia,2003,98.1
MYS,Malaysia,2004,98.1
MYS,Malaysia,2005,98.0
MYS,Malaysia,2006,97.8
MYS,Malaysia,2007,97.5
MYS,Malaysia,2008,97.2
MYS,Malaysia,2009,96.9
MYS,Malaysia,2010,96.5
MYS,Malaysia,2011,95.9
MYS,Malaysia,2012,95.2
MYS,Malaysia,2013,94.5
MYS,Malaysia,2014,93.5
MYS,Malaysia,2015,92.7
MYS,Malaysia,2016,91.6
MYS,Malaysia,2017,90.7
MYS,Malaysia,2018,89.5
MYS,Malaysia,2019,88.2
MYS,Malaysia,2020,86.9
MYS,Malaysia,2021,86.0
MYS,Malaysia,2022,84.1
,,2023,84.1
,,2024,84.1
,,2025,84.1
,,2026,84.1
,,2027,84.1
,,2028,84.1
,,2029,84.1
,,2030,84.1
,,2031,84.1
,,2032,84.1
,,2033,84.1
,,2034,84.1
,,2035,84.1
PHL,Philippines,2000,38.5
PHL,Philippines,2001,39.1
PHL,Philippines,2002,39.9
PHL,Philippines,2003,40.0
PHL,Philippines,2004,40.2
PHL,Philippines,2005,40.4
PHL,Philippines,2006,40.4
PHL,Philippines,2007,40.3
PHL,Philippines,2008,40.3
PHL,Philippines,2009,40.2
PHL,Philippines,2010,40.1
PHL,Philippines,2011,40.5
PHL,Philippines,2012,40.9
PHL,Philippines,2013,42.0
PHL,Philippines,2014,42.9
PHL,Philippines,2015,44.2
PHL,Philippines,2016,45.7
PHL,Philippines,2017,47.8
PHL,Philippines,2018,49.9
PHL,Philippines,2019,52.3
PHL,Philippines,2020,54.6
PHL,Philippines,2021,56.9
PHL,Philippines,2022,59.1
,,2023,59.1
,,2024,59.1
,,2025,59.1
,,2026,59.1
,,2027,59.1
,,2028,59.1
,,2029,59.1
,,2030,59.1
,,2031,59.1
,,2032,59.1
,,2033,59.1
,,2034,59.1
,,2035,59.1
SGP,Singapore,2000,100.0
SGP,Singapore,2001,100.0
SGP,Singapore,2002,100.0
SGP,Singapore,2003,100.0
SGP,Singapore,2004,100.0
SGP,Singapore,2005,100.0
SGP,Singapore,2006,100.0
SGP,Singapore,2007,100.0
SGP,Singapore,2008,100.0
SGP,Singapore,2009,100.0
SGP,Singapore,2010,100.0
SGP,Singapore,2011,100.0
SGP,Singapore,2012,100.0
SGP,Singapore,2013,100.0
SGP,Singapore,2014,100.0
SGP,Singapore,2015,100.0
SGP,Singapore,2016,100.0
SGP,Singapore,2017,100.0
SGP,Singapore,2018,100.0
SGP,Singapore,2019,100.0
SGP,Singapore,2020,100.0
SGP,Singapore,2021,100.0
SGP,Singapore,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
THA,Thailand,2000,61.1
THA,Thailand,2001,62.6
THA,Thailand,2002,63.8
THA,Thailand,2003,64.9
THA,Thailand,2004,65.9
THA,Thailand,2005,67.1
THA,Thailand,2006,68.2
THA,Thailand,2007,69.4
THA,Thailand,2008,70.5
THA,Thailand,2009,71.55
THA,Thailand,2010,72.8
THA,Thailand,2011,74.0
THA,Thailand,2012,75.3
THA,Thailand,2013,76.4
THA,Thailand,2014,77.4
THA,Thailand,2015,78.7
THA,Thailand,2016,79.8
THA,Thailand,2017,81.0
THA,Thailand,2018,82.2
THA,Thailand,2019,83.1
THA,Thailand,2020,84.3
THA,Thailand,2021,85.3
THA,Thailand,2022,86.1
,,2023,86.1
,,2024,86.1
,,2025,86.1
,,2026,86.1
,,2027,86.1
,,2028,86.1
,,2029,86.1
,,2030,86.1
,,2031,86.1
,,2032,86.1
,,2033,86.1
,,2034,86.1
,,2035,86.1
VNM,Vietnam,2000,13.6
VNM,Vietnam,2001,16.5
VNM,Vietnam,2002,19.3
VNM,Vietnam,2003,22.6
VNM,Vietnam,2004,25.9
VNM,Vietnam,2005,29.35
VNM,Vietnam,2006,33.1
VNM,Vietnam,2007,36.8
VNM,Vietnam,2008,41.0
VNM,Vietnam,2009,45.1
VNM,Vietnam,2010,49.8
VNM,Vietnam,2011,55.2
VNM,Vietnam,2012,60.4
VNM,Vietnam,2013,66.3
VNM,Vietnam,2014,72.1
VNM,Vietnam,2015,78.0
VNM,Vietnam,2016,83.6
VNM,Vietnam,2017,88.0
VNM,Vietnam,2018,91.7
VNM,Vietnam,2019,94.2
VNM,Vietnam,2020,96.0
VNM,Vietnam,2021,97.1
VNM,Vietnam,2022,98.1
,,2023,98.1
,,2024,98.1
,,2025,98.1
,,2026,98.1
,,2027,98.1
,,2028,98.1
,,2029,98.1
,,2030,98.1
,,2031,98.1
,,2032,98.1
,,2033,98.1
,,2034,98.1
,,2035,98.1
