country_code,country_name,year,Access to electricity (% of population)
BRN,Brunei Darussalam,2000,100.0
BRN,Brunei Darussalam,2001,100.0
BRN,Brunei Darussalam,2002,100.0
BRN,Brunei Darussalam,2003,100.0
BRN,Brunei Darussalam,2004,100.0
BRN,Brunei Darussalam,2005,100.0
BRN,Brunei Darussalam,2006,100.0
BRN,Brunei Darussalam,2007,100.0
BRN,Brunei Darussalam,2008,100.0
BRN,Brunei Darussalam,2009,100.0
BRN,Brunei Darussalam,2010,100.0
BRN,Brunei Darussalam,2011,100.0
BRN,Brunei Darussalam,2012,100.0
BRN,Brunei Darussalam,2013,100.0
BRN,Brunei Darussalam,2014,100.0
BRN,Brunei Darussalam,2015,100.0
BRN,Brunei Darussalam,2016,100.0
BRN,Brunei Darussalam,2017,100.0
BRN,Brunei Darussalam,2018,100.0
BRN,Brunei Darussalam,2019,100.0
BRN,Brunei Darussalam,2020,100.0
BRN,Brunei Darussalam,2021,100.0
BRN,Brunei Darussalam,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
IDN,Indonesia,2000,86.3
IDN,Indonesia,2001,86.3
IDN,Indonesia,2002,87.6
IDN,Indonesia,2003,87.9
IDN,Indonesia,2004,89.0
IDN,Indonesia,2005,84.8
IDN,Indonesia,2006,90.6
IDN,Indonesia,2007,91.1
IDN,Indonesia,2008,92.7
IDN,Indonesia,2009,93.6
IDN,Indonesia,2010,94.2
IDN,Indonesia,2011,94.8
IDN,Indonesia,2012,96.0
IDN,Indonesia,2013,96.5
IDN,Indonesia,2014,97.0
IDN,Indonesia,2015,97.5
IDN,Indonesia,2016,97.6
IDN,Indonesia,2017,98.1
IDN,Indonesia,2018,98.5
IDN,Indonesia,2019,98.9
IDN,Indonesia,2020,97.0
IDN,Indonesia,2021,99.2
IDN,Indonesia,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
KHM,Cambodia,2000,16.6
KHM,Cambodia,2001,9.5
KHM,Cambodia,2002,13.1
KHM,Cambodia,2003,19.3
KHM,Cambodia,2004,14.2
KHM,Cambodia,2005,20.5
KHM,Cambodia,2006,27.5
KHM,Cambodia,2007,20.2
KHM,Cambodia,2008,26.4
KHM,Cambodia,2009,25.6
KHM,Cambodia,2010,31.1
KHM,Cambodia,2011,37.4
KHM,Cambodia,2012,42.3
KHM,Cambodia,2013,50.9
KHM,Cambodia,2014,56.1
KHM,Cambodia,2015,62.7
KHM,Cambodia,2016,68.8
KHM,Cambodia,2017,89.1
KHM,Cambodia,2018,80.7
KHM,Cambodia,2019,84.0
KHM,Cambodia,2020,86.4
KHM,Cambodia,2021,82.5
KHM,Cambodia,2022,92.3
,,2023,92.3
,,2024,92.3
,,2025,92.3
,,2026,92.3
,,2027,92.3
,,2028,92.3
,,2029,92.3
,,2030,92.3
,,2031,92.3
,,2032,92.3
,,2033,92.3
,,2034,92.3
,,2035,92.3
LAO,Lao PDR,2000,42.6
LAO,Lao PDR,2001,45.3
LAO,Lao PDR,2002,46.3
LAO,Lao PDR,2003,48.0
LAO,Lao PDR,2004,53.5
LAO,Lao PDR,2005,57.2
LAO,Lao PDR,2006,57.0
LAO,Lao PDR,2007,55.0
LAO,Lao PDR,2008,66.0
LAO,Lao PDR,2009,67.4
LAO,Lao PDR,2010,70.2
LAO,Lao PDR,2011,70.0
LAO,Lao PDR,2012,76.4
LAO,Lao PDR,2013,79.3
LAO,Lao PDR,2014,82.5
LAO,Lao PDR,2015,89.7
LAO,Lao PDR,2016,89.0
LAO,Lao PDR,2017,93.6
LAO,Lao PDR,2018,92.9
LAO,Lao PDR,2019,98.4
LAO,Lao PDR,2020,99.3
LAO,Lao PDR,2021,100.0
LAO,Lao PDR,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
MMR,Myanmar,2000,41.9
MMR,Myanmar,2001,43.0
MMR,Myanmar,2002,47.0
MMR,Myanmar,2003,45.1
MMR,Myanmar,2004,46.2
MMR,Myanmar,2005,47.3
MMR,Myanmar,2006,48.4
MMR,Myanmar,2007,49.5
MMR,Myanmar,2008,50.6
MMR,Myanmar,2009,51.8
MMR,Myanmar,2010,48.8
MMR,Myanmar,2011,54.1
MMR,Myanmar,2012,55.3
MMR,Myanmar,2013,56.5
MMR,Myanmar,2014,52.0
MMR,Myanmar,2015,60.5
MMR,Myanmar,2016,55.6
MMR,Myanmar,2017,69.8
MMR,Myanmar,2018,66.1
MMR,Myanmar,2019,68.3
MMR,Myanmar,2020,70.4
MMR,Myanmar,2021,72.5
MMR,Myanmar,2022,73.7
,,2023,73.7
,,2024,73.7
,,2025,73.7
,,2026,73.7
,,2027,73.7
,,2028,73.7
,,2029,73.7
,,2030,73.7
,,2031,73.7
,,2032,73.7
,,2033,73.7
,,2034,73.7
,,2035,73.7
MYS,Malaysia,2000,98.6
MYS,Malaysia,2001,98.6
MYS,Malaysia,2002,98.6
MYS,Malaysia,2003,98.7
MYS,Malaysia,2004,98.7
MYS,Malaysia,2005,98.7
MYS,Malaysia,2006,98.8
MYS,Malaysia,2007,98.9
MYS,Malaysia,2008,99.0
MYS,Malaysia,2009,99.3
MYS,Malaysia,2010,99.5
MYS,Malaysia,2011,99.5
MYS,Malaysia,2012,99.8
MYS,Malaysia,2013,99.6
MYS,Malaysia,2014,99.7
MYS,Malaysia,2015,99.9
MYS,Malaysia,2016,99.9
MYS,Malaysia,2017,100.0
MYS,Malaysia,2018,100.0
MYS,Malaysia,2019,100.0
MYS,Malaysia,2020,100.0
MYS,Malaysia,2021,100.0
MYS,Malaysia,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
PHL,Philippines,2000,74.7
PHL,Philippines,2001,75.7
PHL,Philippines,2002,76.7
PHL,Philippines,2003,76.6
PHL,Philippines,2004,87.6
PHL,Philippines,2005,79.8
PHL,Philippines,2006,80.2
PHL,Philippines,2007,82.0
PHL,Philippines,2008,83.3
PHL,Philippines,2009,84.3
PHL,Philippines,2010,85.5
PHL,Philippines,2011,87.2
PHL,Philippines,2012,87.1
PHL,Philippines,2013,87.5
PHL,Philippines,2014,89.8
PHL,Philippines,2015,89.1
PHL,Philippines,2016,92.0
PHL,Philippines,2017,93.0
PHL,Philippines,2018,94.2
PHL,Philippines,2019,95.3
PHL,Philippines,2020,96.4
PHL,Philippines,2021,97.5
PHL,Philippines,2022,94.8
,,2023,94.8
,,2024,94.8
,,2025,94.8
,,2026,94.8
,,2027,94.8
,,2028,94.8
,,2029,94.8
,,2030,94.8
,,2031,94.8
,,2032,94.8
,,2033,94.8
,,2034,94.8
,,2035,94.8
SGP,Singapore,2000,100.0
SGP,Singapore,2001,100.0
SGP,Singapore,2002,100.0
SGP,Singapore,2003,100.0
SGP,Singapore,2004,100.0
SGP,Singapore,2005,100.0
SGP,Singapore,2006,100.0
SGP,Singapore,2007,100.0
SGP,Singapore,2008,100.0
SGP,Singapore,2009,100.0
SGP,Singapore,2010,100.0
SGP,Singapore,2011,100.0
SGP,Singapore,2012,100.0
SGP,Singapore,2013,100.0
SGP,Singapore,2014,100.0
SGP,Singapore,2015,100.0
SGP,Singapore,2016,100.0
SGP,Singapore,2017,100.0
SGP,Singapore,2018,100.0
SGP,Singapore,2019,100.0
SGP,Singapore,2020,100.0
SGP,Singapore,2021,100.0
SGP,Singapore,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
THA,Thailand,2000,82.1
THA,Thailand,2001,90.4
THA,Thailand,2002,91.0
THA,Thailand,2003,91.6
THA,Thailand,2004,92.2
THA,Thailand,2005,92.8
THA,Thailand,2006,99.1
THA,Thailand,2007,94.1
THA,Thailand,2008,94.8
THA,Thailand,2009,99.0
THA,Thailand,2010,99.7
THA,Thailand,2011,99.3
THA,Thailand,2012,99.1
THA,Thailand,2013,99.4
THA,Thailand,2014,99.5
THA,Thailand,2015,99.6
THA,Thailand,2016,99.9
THA,Thailand,2017,99.9
THA,Thailand,2018,99.8
THA,Thailand,2019,99.9
THA,Thailand,2020,100.0
THA,Thailand,2021,100.0
THA,Thailand,2022,99.9
,,2023,99.9
,,2024,99.9
,,2025,99.9
,,2026,99.9
,,2027,99.9
,,2028,99.9
,,2029,99.9
,,2030,99.9
,,2031,99.9
,,2032,99.9
,,2033,99.9
,,2034,99.9
,,2035,99.9
VNM,Vietnam,2000,88.2
VNM,Vietnam,2001,88.9
VNM,Vietnam,2002,89.1
VNM,Vietnam,2003,90.3
VNM,Vietnam,2004,91.0
VNM,Vietnam,2005,96.1
VNM,Vietnam,2006,96.0
VNM,Vietnam,2007,93.1
VNM,Vietnam,2008,93.8
VNM,Vietnam,2009,96.1
VNM,Vietnam,2010,97.4
VNM,Vietnam,2011,99.0
VNM,Vietnam,2012,97.9
VNM,Vietnam,2013,98.5
VNM,Vietnam,2014,99.2
VNM,Vietnam,2015,99.3
VNM,Vietnam,2016,99.2
VNM,Vietnam,2017,100.0
VNM,Vietnam,2018,100.0
VNM,Vietnam,2019,99.4
VNM,Vietnam,2020,99.8
VNM,Vietnam,2021,100.0
VNM,Vietnam,2022,100.0
,,2023,100.0
,,2024,100.0
,,2025,100.0
,,2026,100.0
,,2027,100.0
,,2028,100.0
,,2029,100.0
,,2030,100.0
,,2031,100.0
,,2032,100.0
,,2033,100.0
,,2034,100.0
,,2035,100.0
