Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,"Population, total_Prophet","Population, total_Lower_CI","Population, total_Upper_CI",Urban population (% of total)_Prophet,Urban population (% of total)_Lower_CI,Urban population (% of total)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,Individuals using the Internet (% of population)_Prophet,Individuals using the Internet (% of population)_Lower_CI,Individuals using the Internet (% of population)_Upper_CI,Mobile cellular subscriptions (per 100 people)_Prophet,Mobile cellular subscriptions (per 100 people)_Lower_CI,Mobile cellular subscriptions (per 100 people)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI
2000,Myanmar,8910000000.0,Historical,190.0,Historical,9.69226,Historical,,Historical,2.86118,Historical,45300000.0,Historical,27.025,Historical,1.11707,Historical,283.5502,Historical,77.63159,Historical,41.9,Historical,27.18148,Historical,,Historical,0.02942,Historical,39.52723,Historical,0.22171,Historical,1.83742,Historical,5.1,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,Myanmar,6480000000.0,Historical,190.0,Historical,10.58049,Historical,,Historical,3.21566,Historical,45800000.0,Historical,27.208,Historical,1.05489,Historical,274.18367,Historical,70.54664,Historical,43.0,Historical,23.62618,Historical,0.00029,Historical,0.04927,Historical,39.74284,Historical,0.19169,Historical,1.83466,Historical,4.67,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,Myanmar,6780000000.0,Historical,170.0,Historical,13.0069,Historical,,Historical,2.22071,Historical,46200000.0,Historical,27.391,Historical,1.00326,Historical,280.6152,Historical,75.35799,Historical,47.0,Historical,24.07386,Historical,0.00043,Historical,0.10323,Historical,40.17689,Historical,0.19128,Historical,1.86269,Historical,5.07,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,Myanmar,10500000000.0,Historical,190.0,Historical,14.25826,Historical,,Historical,2.37776,Historical,46700000.0,Historical,27.575,Historical,0.93551,Historical,301.52609,Historical,82.47764,Historical,45.1,Historical,27.11699,Historical,0.02406,Historical,0.14175,Historical,40.65103,Historical,0.2348,Historical,1.97005,Historical,5.42,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,Myanmar,10600000000.0,Historical,230.0,Historical,16.36636,Historical,,Historical,2.00016,Historical,47100000.0,Historical,27.76,Historical,0.85684,Historical,315.40528,Historical,83.06994,Historical,46.2,Historical,30.13469,Historical,0.02434,Historical,0.1953,Historical,40.98694,Historical,0.22584,Historical,2.01886,Historical,5.61,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,Myanmar,12000000000.0,Historical,280.0,Historical,17.5122,Historical,,Historical,1.95966,Historical,47400000.0,Historical,27.946,Historical,0.78215,Historical,314.00914,Historical,77.23706,Historical,47.3,Historical,29.47735,Historical,0.06524,Historical,0.26967,Historical,41.00625,Historical,0.23695,Historical,2.11843,Historical,6.02,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,Myanmar,14500000000.0,Historical,300.0,Historical,19.23729,Historical,,Historical,1.90182,Historical,47800000.0,Historical,28.132,Historical,0.72833,Historical,316.14422,Historical,91.13713,Historical,48.4,Historical,29.81559,Historical,0.18205,Historical,0.44546,Historical,40.5461,Historical,0.21872,Historical,2.19775,Historical,6.18,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,Myanmar,20200000000.0,Historical,360.0,Historical,20.40913,Historical,,Historical,3.51752,Historical,48100000.0,Historical,28.319,Historical,0.70881,Historical,325.70109,Historical,92.23888,Historical,49.5,Historical,31.70409,Historical,0.21713,Historical,0.51117,Historical,39.59622,Historical,0.22684,Historical,2.22606,Historical,6.4,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Myanmar,31900000000.0,Historical,490.0,Historical,22.66582,Historical,,Historical,2.71127,Historical,48400000.0,Historical,28.507,Historical,0.55069,Historical,312.26192,Historical,97.14658,Historical,50.6,Historical,28.44973,Historical,0.22,Historical,0.75393,Historical,38.20712,Historical,0.17265,Historical,2.18703,Historical,6.62,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,Myanmar,36900000000.0,Historical,660.0,Historical,24.53201,Historical,,Historical,2.92355,Historical,48700000.0,Historical,28.695,Historical,0.55572,Historical,294.19905,Historical,102.60898,Historical,51.8,Historical,23.27887,Historical,0.22,Historical,1.02417,Historical,36.42933,Historical,0.15997,Historical,2.18574,Historical,6.97,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Myanmar,49500000000.0,Historical,880.0,Historical,26.46806,Historical,19.86208,Historical,1.81897,Historical,49000000.0,Historical,28.885,Historical,0.7451,Historical,286.00283,Historical,128.3035,Historical,48.8,Historical,21.22356,Historical,0.25,Historical,1.20265,Historical,34.31335,Historical,0.17601,Historical,2.21042,Historical,8.62,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Myanmar,60000000000.0,Historical,1040.0,Historical,31.29165,Historical,19.72131,Historical,4.20128,Historical,49400000.0,Historical,29.075,Historical,0.80338,Historical,289.84414,Historical,159.28832,Historical,54.1,Historical,20.87967,Historical,0.98,Historical,2.4975,Historical,29.48544,Historical,0.18561,Historical,2.17193,Historical,10.43,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Myanmar,59900000000.0,Historical,1170.0,Historical,32.37302,Historical,20.09235,Historical,2.2254,Historical,49800000.0,Historical,29.266,Historical,0.84151,Historical,314.15577,Historical,160.94324,Historical,55.3,Historical,26.92944,Historical,1.4,Historical,7.42683,Historical,33.17922,Historical,0.25197,Historical,2.19483,Historical,11.16,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Myanmar,60300000000.0,Historical,1260.0,Historical,32.36222,Historical,19.91591,Historical,3.74086,Historical,50300000.0,Historical,29.457,Historical,0.84958,Historical,330.50214,Historical,191.23541,Historical,56.5,Historical,30.72995,Historical,1.8,Historical,13.48984,Historical,35.1665,Historical,0.28292,Historical,2.24146,Historical,12.46,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Myanmar,65500000000.0,Historical,1260.0,Historical,34.48971,Historical,19.93076,Historical,3.31904,Historical,50700000.0,Historical,29.65,Historical,0.83012,Historical,380.98592,Historical,222.09229,Historical,52.0,Historical,44.2899,Historical,7.4,Historical,56.83955,Historical,31.22189,Historical,0.35001,Historical,2.32973,Historical,14.39,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Myanmar,59600000000.0,Historical,1230.0,Historical,34.46882,Historical,20.80814,Historical,6.85124,Historical,51100000.0,Historical,29.858,Historical,0.80067,Historical,,Historical,,Historical,60.5,Historical,,Historical,10.9,Historical,79.62427,Historical,29.91505,Historical,0.38629,Historical,2.3856,Historical,16.2,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Myanmar,63300000000.0,Historical,1230.0,Historical,34.8095,Historical,22.79535,Historical,5.1788,Historical,51500000.0,Historical,30.082,Historical,0.79279,Historical,,Historical,,Historical,55.6,Historical,,Historical,16.0,Historical,97.48338,Historical,31.17039,Historical,0.446,Historical,2.47322,Historical,15.74,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Myanmar,66100000000.0,Historical,1230.0,Historical,36.80092,Historical,24.09404,Historical,7.27336,Historical,51900000.0,Historical,30.322,Historical,0.7723,Historical,,Historical,,Historical,69.8,Historical,,Historical,23.6211,Historical,91.69667,Historical,28.13367,Historical,0.65006,Historical,2.76292,Historical,19.65,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Myanmar,67900000000.0,Historical,1310.0,Historical,36.96346,Historical,24.91187,Historical,2.60563,Historical,52300000.0,Historical,30.579,Historical,0.72443,Historical,,Historical,,Historical,66.1,Historical,,Historical,33.7204,Historical,116.09757,Historical,31.55599,Historical,0.64091,Historical,2.28902,Historical,20.21,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Myanmar,75100000000.0,Historical,1380.0,Historical,38.41261,Historical,25.32007,Historical,2.31211,Historical,52600000.0,Historical,30.852,Historical,0.70243,Historical,,Historical,,Historical,68.3,Historical,,Historical,48.1377,Historical,154.49691,Historical,32.16423,Historical,0.65295,Historical,2.27554,Historical,18.05,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Myanmar,79000000000.0,Historical,1320.0,Historical,37.54392,Historical,25.45204,Historical,,Historical,53000000.0,Historical,31.141,Historical,0.71138,Historical,,Historical,,Historical,70.4,Historical,,Historical,41.95429,Historical,147.03038,Historical,32.31503,Historical,0.65463,Historical,2.28494,Historical,17.54,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Myanmar,66300000000.0,Historical,1240.0,Historical,37.31089,Historical,25.63745,Historical,,Historical,53400000.0,Historical,31.448,Historical,0.69656,Historical,,Historical,,Historical,72.5,Historical,,Historical,44.02167,Historical,126.26861,Historical,,Historical,0.59614,Historical,2.23294,Historical,18.66,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Myanmar,62300000000.0,Historical,1290.0,Historical,38.24714,Historical,25.55956,Historical,,Historical,53800000.0,Historical,31.771,Historical,0.69007,Historical,,Historical,,Historical,73.7,Historical,,Historical,,Historical,106.69647,Historical,,Historical,0.60258,Historical,2.20135,Historical,23.05,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Myanmar,66800000000.0,Historical,1230.0,Historical,37.59293,Historical,21.86542,Historical,,Historical,54100000.0,Historical,32.112,Historical,0.69888,Historical,,Historical,,Historical,,Historical,,Historical,,Historical,,Historical,,Historical,0.61641,Historical,2.12579,Historical,25.49,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Myanmar,64435457030.37789,VAR_Forecast,1137.2986949519582,VAR_Forecast,35.739133032618625,VAR_Forecast,19.50858080422688,VAR_Forecast,2.696100256689233,VAR_Forecast,53811155.48176616,VAR_Forecast,32.00049479352306,VAR_Forecast,0.710710785130263,VAR_Forecast,374.1222272880733,VAR_Forecast,216.94202587248247,VAR_Forecast,69.7581522980416,VAR_Forecast,42.55732272334054,VAR_Forecast,40.44501641074397,VAR_Forecast,106.56941984816834,VAR_Forecast,32.87472675885509,VAR_Forecast,0.5167532359842791,VAR_Forecast,2.0450206200731635,VAR_Forecast,23.299427704723215,VAR_Forecast,94374981455.17387,82990668414.77086,106644341334.51308,1709.9815486027514,1479.9465547600278,1917.892867186545,41.25408745547475,39.45422084992256,43.0821371239421,27.42126884045539,25.877989547096213,29.14227154177849,2.9630256807122373,1.0938575141570603,4.742495982006583,55200393.9666948,55145279.96564945,55258687.92163717,32.627589652449714,32.60898847700024,32.646624959821644,0.6487760654122476,0.507296170232855,0.7960469485603597,439.71477465759097,402.1562576423861,478.0060975475939,287.92350139380954,255.00911795470196,322.77088626929503,78.1143498950714,74.85807450583033,81.35525858529893,57.273838816435145,47.42585603147764,68.68721282387084,44.183291171765326,32.73849436560847,55.466219504083845,150.5772462583984,114.67679907837692,183.50926584044575,28.224561886981924,25.279056980315342,31.207020477086967,0.6746187847077558,0.5543755113497536,0.7931160656120693,2.4666663952877377,2.2860717581873,2.644034646232481,23.27545801884049,20.846189911108848,25.545321287958963
